問題文,画像ファイル,選択肢１,選択肢２,選択肢３,選択肢４,画像の著作権表記
源氏物語の作者は誰ですか？,s20008_wakamurasaki.jpeg,不明,紫式部,兼好法師,夏目漱石,ウィキペディア
745年の8月19日は、絶世の美女であった楊貴妃が唐・玄宗皇帝の妃となった「楊貴妃の日」です。さて、楊貴妃という通称ですが、、、どこで切る？,s20008_yangguifei.jpeg,楊・貴妃,楊貴・妃,楊・貴・妃,分からない,楊貴妃の肖像画＝山口県長門市の二尊院所蔵
仲睦まじかった楊貴妃と玄宗皇帝。詩人・白居易(白楽天)が、その二人の姿を元に詩作し「長恨歌」として今に伝えられています。さて「長恨歌」では仲のよい2人を伝説上の生物「比翼の鳥」とたとえていますが、この鳥はどんな鳥？,s20008_bird.jpeg,翼が二枚ある鳥,翼が片方しかない鳥,片方の翼だけが大きい鳥,翼がない鳥,https://blogtag.ameba.jp/news/%E6%AF%94%E7%BF%BC%E3%81%AE%E9%B3%A5
「論語」といえば、中国の思想家である誰の言葉をまとめたもの？,s20008_kongzi.jpeg,孔子,孟子,老子,庄子,春秋_中国孔子网
ディズニーアニメに登場するダンボはどんな動物？,s20008_disney.jpeg,ロバ,クマ,ウシ,ゾウ,https://travel.rakuten.co.jp/mytrip/howto/tdl-quiz
山形県東部に位置し、将棋の駒の生産量が全国の9割を占めることで知られる都市はどこ？,s20008_yamagata.jpeg,酒田市,米沢市,天童市,鶴岡市,https://yamagatakanko.com/
元素記号で塩素を表すアルファベット2文字は何？,s20008_genso.jpeg,Ag,Cl,Cu,Ca,https://booth.pm/ja/items/2505095
一般的な「かにかま」の原材料は何？,s20008_kani.jpeg,ホタテ,マグロ,カニ,スケトウダラ,https://ranking.goo.ne.jp/select/6453
アニメ「美少女戦士セーラームーン」のヒロインは月野〇〇〇。〇〇〇は何？,s20008_seramun.jpeg,さくら,もみじ,うさぎ,ひつじ,https://gyao.yahoo.co.jp/store/title/048098
理想も（）もない,s20008_hechima.jpeg,糸瓜,胡瓜,西瓜,冬瓜,https://shop.takii.co.jp/products/detail/AZU121
血糖値を減少させる効果がある、すい臓のランゲルハンス島β細胞から分泌されるホルモンは？,s20008_hormone.png,グルカゴン,バソプレシン,ソマトスタチン,インシュリン,中外製薬
足利義政が造営した東山山荘が前身。上段に枯山水、下段に池泉回遊式の素朴な風情の庭園を持つ寺院は？,s20008_temple.jpeg,銀閣寺,竜安寺,清水寺,滝口寺,銀閣寺 | 臨済宗相国寺派
無愛想で人に取り合わないことわざ「木で◯をくくる」。◯の中は何？,s20008_kotowaza.jpeg,耳,鼻,口,手,https://kaku-navi.com/idiom/idiom01698.html
チェスにおいて、次に動かせる駒が無く、ゲームが継続できずに「引き分け」になることを何という？,s20008_chessman.jpeg,プロモーション,チェックメイト,ステイルメイト,キャスリング,https://www.kumon.ne.jp/press/10942/
中国語で「シェイシェイ」、フランス語で「メルシイ」とはどういう意味？,s20008_language.png,さようなら,すみません,こんにちは,ありがとう,https://www.realmax.co.jp/facebook_info/post-18940/
