問題文,画像ファイル,選択肢1,選択肢2,選択肢3,選択肢4,画像の著作権表記
キリンの睡眠時間は？,s20016_0.png,20分,眠らない,12時間,8時間,
イカの心臓の数は？,s20016_1.png,３つ,1つ,4つ,2つ,
ホッキョクウサギの特徴で正しいものはどれ？,s20016_2.png,肉を食べる,3mの跳躍力をもつ,時速100kmで走る,泳げる,
オウムガイの足の数は何本？,s20016_3.png,90本,10本,8本,70本,
オスのカピバラにだけある｢モリージョ｣は体のどの部分？,s20016_4.png,鼻の上,胸,額,目の外側,
ゾウの歯の数は？,s20016_5.png,4本,40本,8本,20本,
ヌーの鳴き声は？,s20016_6.png,ヌー,メェー,メェー,ワンワン,
トビウオのひとっ飛びは何m？,s20016_7.png,400m,50m,200m,100m,
｢世界ネコの日｣はいつ？,s20016_8.png,8月8日,8月10日,8月22日,10月5日,
生まれたてのコアラの赤ちゃんの体重は？,s20016_9.png,約0.5g,約200g,約50g,約100g,
